Date,Open,High,Low,Close,Adj Close,Volume,,,,Date,,
14-01-2002,38.5,39.5,38.0625,38.40000153,20.41788292,83688,,,,,,
15-01-2002,38.11249924,38.72499847,37.15000153,37.41249847,19.89281464,47496,,,,,,
16-01-2002,38.04999924,38.5,37.125,37.70000076,20.045681,51624,,,,,,
17-01-2002,36.25,38.75,36.25,38.33750153,20.38465881,85840,,,,,,
18-01-2002,38.75,39.97499847,38.15000153,38.54999924,20.49764633,78928,,,,,,
21-01-2002,38.02500153,38.20000076,37.27500153,37.70000076,20.045681,21928,,,,,,
22-01-2002,37.47499847,38.67499924,37.47499847,37.91249847,20.15867615,39712,,,,,,
23-01-2002,37.01250076,38.1875,36.5625,36.95000076,19.64690208,30656,,,,,,
24-01-2002,38,38.25,36.95000076,37.16249847,19.75988388,42248,,,,,,
25-01-2002,36.3125,37.375,35.5,36.07500076,19.18164444,59912,,,,,,
28-01-2002,35,35.5,33.9375,34.38750076,18.28438568,53640,,,,,,
29-01-2002,34.98749924,35.75,34.15000153,34.65000153,18.42394638,37352,,,,,,
30-01-2002,34.625,35,33.375,33.42499924,17.77259827,13784,,,,,,
31-01-2002,33.5,35.125,33.5,34.9375,18.57681847,23544,,,,,,
01-02-2002,35.5,35.75,34.5,35,18.61005592,38352,,,,,,
04-02-2002,34.25,34.71250153,34.01250076,34.4375,18.31096077,23008,,,,,,
05-02-2002,34.48749924,34.77500153,33.875,33.97499847,18.0650425,10192,,,,,,
06-02-2002,39.34999847,39.34999847,35.5,38.25,20.33813477,129800,,,,,,
07-02-2002,37.125,38.40000153,36,36.26250076,19.28134537,66864,,,,,,
08-02-2002,36.72499847,36.98749924,35.625,35.78749847,19.02877808,23920,,,,,,
11-02-2002,36.5,38.125,36.5,36.92499924,19.63360023,65120,,,,,,
12-02-2002,38.25,39.1875,37,37.27500153,19.81969833,47464,,,,,,
13-02-2002,38,38.47499847,35.75,36.76250076,19.54720879,51592,,,,,,
14-02-2002,38.58750153,38.59999847,36.5,36.57500076,19.44750404,47136,,,,,,
15-02-2002,36.11249924,37.47499847,36.11249924,36.95000076,19.64690208,33280,,,,,,
18-02-2002,35.77500153,37.5,35.77500153,36.8125,19.5737896,22992,,,,,,
19-02-2002,37.625,40,36.29999924,38.20000076,20.31154633,163760,,,,,,
20-02-2002,39.70000076,43.67499924,39.01250076,41.11249924,21.86016655,1180584,,,,,,
21-02-2002,42.25,43.625,40.75,41.42499924,22.02632141,434016,,,,,,
22-02-2002,39.75,41.75,39.625,40.78749847,21.68735695,217112,,,,,,
25-02-2002,40.5,41.25,40.02500153,40.21250153,21.38162804,72552,,,,,,
26-02-2002,41.23749924,41.27500153,39.76250076,40.27500153,21.41485596,60256,,,,,,
27-02-2002,40.6875,41.25,38.625,38.875,20.67045021,75232,,,,,,
28-02-2002,39.21250153,40,35.375,35.95000076,19.11518097,92992,,,,,,
01-03-2002,36,37.47499847,34.57500076,36.78749847,19.56049538,63144,,,,,,
04-03-2002,39.47499847,39.47499847,36.75,37.13750076,19.74660301,45176,,,,,,
05-03-2002,38.75,39.20000076,37.25,37.45000076,19.91275406,73640,,,,,,
06-03-2002,38.23749924,38.46250153,37,37.28749847,19.82635307,38728,,,,,,
07-03-2002,38.16249847,38.17499924,37.26250076,37.73749924,20.06562614,55024,,,,,,
08-03-2002,38.125,39.25,37.95000076,38.95000076,20.71032715,107416,,,,,,
11-03-2002,39.6875,39.6875,38,38.1875,20.3048954,75536,,,,,,
12-03-2002,38.15000153,38.15000153,37.0625,37.3125,19.83964348,50784,,,,,,
13-03-2002,37.03749847,38.25,36.92499924,37.8125,20.10550499,48376,,,,,,
14-03-2002,40,40,37.0625,38.02500153,20.21848869,46112,,,,,,
15-03-2002,38.4375,38.4375,37.625,38.09999847,20.25836754,32936,,,,,,
18-03-2002,39.5,45.71250153,38.75,45.71250153,24.30605125,623984,,,,,,
19-03-2002,47.5,48.45000076,42.53749847,42.95000076,22.83719635,838160,,,,,,
20-03-2002,43.5,50.25,43.5,49.625,26.38639259,3514640,,,,,,
21-03-2002,49.97499847,55.33750153,48.75,54.67499924,29.07155609,6371504,,,,,,
22-03-2002,55.03749847,56.92499924,51.52500153,51.91249847,27.60268593,5957120,,,,,,
26-03-2002,51.25,51.98749924,46.29999924,46.70000076,24.83112717,1680528,,,,,,
27-03-2002,47.45000076,51.72499847,46.92499924,51.03749847,27.13744545,4979808,,,,,,
01-04-2002,53.5,53.72499847,50.4375,51.83750153,27.56281853,2559016,,,,,,
02-04-2002,52.22499847,57.97499847,51.25,54.375,28.91205215,4557776,,,,,,
03-04-2002,53.75,65.25,53.07500076,65.25,34.69445419,9823808,,,,,,
04-04-2002,67.48750305,72.625,66.75,68.5,36.42251205,8736624,,,,,,
05-04-2002,68.44999695,69.44999695,65.3125,66.51249695,35.36574554,5138848,,,,,,
08-04-2002,67.44999695,69.34999847,64.25,65.13749695,34.63463211,4547400,,,,,,
09-04-2002,65.73750305,66.5,62.65000153,65.59999847,34.88055038,3006376,,,,,,
10-04-2002,65,70.65000153,65,68.78749847,36.57538605,4279496,,,,,,
11-04-2002,69.92500305,75.34999847,68.52500153,73.07499695,38.85512543,5814032,,,,,,
12-04-2002,70,79.84999847,70,76.08750153,40.4569397,7397064,,,,,,
15-04-2002,81.25,81.25,71.3125,71.53749847,38.03761292,2578368,,,,,,
16-04-2002,72.47499847,73.9375,70.09999847,70.66249847,37.57236481,2336696,,,,,,
17-04-2002,73.5,74.97499847,71.5625,71.92500305,38.24367142,1521336,,,,,,
18-04-2002,72.75,80.19999695,70.77500153,78.9375,41.97231293,3009256,,,,,,
19-04-2002,79.90000153,83.5625,74,75.41249847,40.09801865,8487536,,,,,,
22-04-2002,76.25,76.9375,72.02500153,75.01249695,39.88533401,3132192,,,,,,
23-04-2002,75,81.09999847,74.8125,80.25,42.67018509,4616136,,,,,,
24-04-2002,81,82.22499847,78.77500153,79.88749695,42.47743225,2987520,,,,,,
25-04-2002,80.5,80.5,75.75,76.59999847,40.72941589,2028496,,,,,,
26-04-2002,76.75,79.59999847,74.5625,76.1875,40.51009369,2506752,,,,,,
29-04-2002,75.5,77,72.47499847,73.5625,39.11434555,2157272,,,,,,
30-04-2002,74.6875,76.91249847,74.25,75.33750153,40.05813217,2105776,,,,,,
02-05-2002,76.625,79.09999847,76.22499847,78.16249847,41.5602417,2603784,,,,,,
03-05-2002,78.22499847,78.48750305,75.6875,76.5625,40.70949554,1378176,,,,,,
06-05-2002,76.75,77.19999695,74.75,75.27500153,40.02488708,786544,,,,,,
07-05-2002,75.75,76.75,74.125,74.76249695,39.75239944,909936,,,,,,
08-05-2002,76.73750305,77.5,75.03749847,75.5,40.14453506,871112,,,,,,
09-05-2002,78.76249695,78.76249695,73.77500153,74.84999847,39.79892731,1097024,,,,,,
10-05-2002,74.75,75.47499847,73.15000153,73.51249695,39.08776474,598648,,,,,,
13-05-2002,74.44999695,74.75,71.6875,72.17500305,38.37659073,337448,,,,,,
14-05-2002,73.25,73.75,69.01249695,69.96250153,37.20016861,396984,,,,,,
15-05-2002,71.17500305,71.65000153,66.27500153,67.55000305,35.91739655,531888,,,,,,
16-05-2002,67.88749695,68.69999695,64.75,65.1875,34.66121674,483392,,,,,,
17-05-2002,65.84999847,66,62.25,64.26249695,34.169384,480624,,,,,,
20-05-2002,65.02500153,65.75,56.25,58.65000153,31.18512917,271688,,,,,,
21-05-2002,56.54999924,56.97499847,50.125,53.65000153,28.52654076,690248,,,,,,
22-05-2002,51.625,56.25,51.625,54.83750153,29.15795135,733392,,,,,,
23-05-2002,54.83750153,55.75,52.5,53.34999847,28.36704445,348824,,,,,,
24-05-2002,55,64.01249695,55,64.01249695,34.03644943,1227032,,,,,,
27-05-2002,65.25,67.75,60.25,64.22499847,34.14944839,2219704,,,,,,
28-05-2002,62.5,64.125,59.25,60.125,31.96940422,926568,,,,,,
29-05-2002,61.25,64.5,61,62.9375,33.46486664,1086112,,,,,,
30-05-2002,63.25,67,61,61.875,32.89992523,1431304,,,,,,
31-05-2002,62.5,63.25,60.75,61.96250153,32.94643021,631600,,,,,,
03-06-2002,63.25,65.71250153,63.25,63.73749924,33.89022827,683056,,,,,,
04-06-2002,63.5,64.25,62.5,63.38750076,33.70413589,358472,,,,,,
05-06-2002,64.125,66.25,63.8125,64.875,34.49505615,727208,,,,,,
06-06-2002,65.69999695,66.5,63,63.375,33.69749451,317576,,,,,,
07-06-2002,62.02500153,62.5,60,60.4375,32.13557816,293376,,,,,,
10-06-2002,61.42499924,63,58.5625,58.97499847,31.35793877,521464,,,,,,
11-06-2002,60.70000076,62.46250153,60.70000076,61.09999847,32.48783112,445320,,,,,,
12-06-2002,61.5,61.75,59.29999924,60.11249924,31.96276283,220040,,,,,,
13-06-2002,59.4375,61.625,59.41249847,59.78749847,31.78995514,146032,,,,,,
14-06-2002,59.41249847,60.25,58.875,59.82500076,31.80989456,165720,,,,,,
